Tarih,Dolar,Euro,mes,dia,ano,ano_mes
1/4/2010,1.49,2.14,1,4,2010,2010.1
1/5/2010,1.48,2.13,1,5,2010,2010.1
1/6/2010,1.47,2.12,1,6,2010,2010.1
1/7/2010,1.47,2.11,1,7,2010,2010.1
1/8/2010,1.47,2.11,1,8,2010,2010.1
1/9/2010,,,1,9,2010,2010.1
1/10/2010,,,1,10,2010,2010.1
1/11/2010,1.46,2.10,1,11,2010,2010.1
1/12/2010,1.45,2.10,1,12,2010,2010.1
1/13/2010,1.45,2.10,1,13,2010,2010.1
1/14/2010,1.44,2.10,1,14,2010,2010.1
1/15/2010,1.45,2.10,1,15,2010,2010.1
1/16/2010,,,1,16,2010,2010.1
1/17/2010,,,1,17,2010,2010.1
1/18/2010,1.45,2.09,1,18,2010,2010.1
1/19/2010,1.45,2.08,1,19,2010,2010.1
1/20/2010,1.45,2.08,1,20,2010,2010.1
1/21/2010,1.46,2.07,1,21,2010,2010.1
1/22/2010,1.47,2.07,1,22,2010,2010.1
1/23/2010,,,1,23,2010,2010.1
1/24/2010,,,1,24,2010,2010.1
1/25/2010,1.48,2.09,1,25,2010,2010.1
1/26/2010,1.48,2.09,1,26,2010,2010.1
1/27/2010,1.49,2.10,1,27,2010,2010.1
1/28/2010,1.49,2.09,1,28,2010,2010.1
1/29/2010,1.49,2.08,1,29,2010,2010.1
1/30/2010,,,1,30,2010,2010.1
1/31/2010,,,1,31,2010,2010.1
2/1/2010,1.48,2.07,2,1,2010,2010.2
2/2/2010,1.48,2.06,2,2,2010,2010.2
2/3/2010,1.48,2.06,2,3,2010,2010.2
2/4/2010,1.47,2.06,2,4,2010,2010.2
2/5/2010,1.49,2.06,2,5,2010,2010.2
2/6/2010,,,2,6,2010,2010.2
2/7/2010,,,2,7,2010,2010.2
2/8/2010,1.51,2.07,2,8,2010,2010.2
2/9/2010,1.52,2.07,2,9,2010,2010.2
2/10/2010,1.51,2.07,2,10,2010,2010.2
2/11/2010,1.50,2.07,2,11,2010,2010.2
2/12/2010,1.51,2.07,2,12,2010,2010.2
2/13/2010,,,2,13,2010,2010.2
2/14/2010,,,2,14,2010,2010.2
2/15/2010,1.51,2.05,2,15,2010,2010.2
2/16/2010,1.51,2.05,2,16,2010,2010.2
2/17/2010,1.50,2.05,2,17,2010,2010.2
2/18/2010,1.50,2.06,2,18,2010,2010.2
2/19/2010,1.51,2.05,2,19,2010,2010.2
2/20/2010,,,2,20,2010,2010.2
2/21/2010,,,2,21,2010,2010.2
2/22/2010,1.52,2.05,2,22,2010,2010.2
2/23/2010,1.51,2.05,2,23,2010,2010.2
2/24/2010,1.52,2.08,2,24,2010,2010.2
2/25/2010,1.54,2.08,2,25,2010,2010.2
2/26/2010,1.54,2.08,2,26,2010,2010.2
2/27/2010,,,2,27,2010,2010.2
2/28/2010,,,2,28,2010,2010.2
3/1/2010,1.54,2.09,3,1,2010,2010.3
3/2/2010,1.54,2.09,3,2,2010,2010.3
3/3/2010,1.53,2.07,3,3,2010,2010.3
3/4/2010,1.53,2.09,3,4,2010,2010.3
3/5/2010,1.54,2.10,3,5,2010,2010.3
3/6/2010,,,3,6,2010,2010.3
3/7/2010,,,3,7,2010,2010.3
3/8/2010,1.54,2.09,3,8,2010,2010.3
3/9/2010,1.52,2.08,3,9,2010,2010.3
3/10/2010,1.53,2.08,3,10,2010,2010.3
3/11/2010,1.53,2.08,3,11,2010,2010.3
3/12/2010,1.53,2.09,3,12,2010,2010.3
3/13/2010,,,3,13,2010,2010.3
3/14/2010,,,3,14,2010,2010.3
3/15/2010,1.52,2.09,3,15,2010,2010.3
3/16/2010,1.52,2.09,3,16,2010,2010.3
3/17/2010,1.52,2.08,3,17,2010,2010.3
3/18/2010,1.51,2.08,3,18,2010,2010.3
3/19/2010,1.52,2.07,3,19,2010,2010.3
3/20/2010,,,3,20,2010,2010.3
3/21/2010,,,3,21,2010,2010.3
3/22/2010,1.52,2.07,3,22,2010,2010.3
3/23/2010,1.54,2.08,3,23,2010,2010.3
3/24/2010,1.54,2.08,3,24,2010,2010.3
3/25/2010,1.53,2.05,3,25,2010,2010.3
3/26/2010,1.53,2.05,3,26,2010,2010.3
3/27/2010,,,3,27,2010,2010.3
3/28/2010,,,3,28,2010,2010.3
3/29/2010,1.53,2.04,3,29,2010,2010.3
3/30/2010,1.52,2.05,3,30,2010,2010.3
3/31/2010,1.52,2.05,3,31,2010,2010.3
4/1/2010,1.52,2.04,4,1,2010,2010.4
4/2/2010,1.51,2.04,4,2,2010,2010.4
4/3/2010,,,4,3,2010,2010.4
4/4/2010,,,4,4,2010,2010.4
4/5/2010,1.51,2.05,4,5,2010,2010.4
4/6/2010,1.51,2.03,4,6,2010,2010.4
4/7/2010,1.50,2.02,4,7,2010,2010.4
4/8/2010,1.49,2.00,4,8,2010,2010.4
4/9/2010,1.50,1.99,4,9,2010,2010.4
4/10/2010,,,4,10,2010,2010.4
4/11/2010,,,4,11,2010,2010.4
4/12/2010,1.48,1.99,4,12,2010,2010.4
4/13/2010,1.48,2.01,4,13,2010,2010.4
4/14/2010,1.48,2.02,4,14,2010,2010.4
4/15/2010,1.47,2.01,4,15,2010,2010.4
4/16/2010,1.47,2.00,4,16,2010,2010.4
4/17/2010,,,4,17,2010,2010.4
4/18/2010,,,4,18,2010,2010.4
4/19/2010,1.47,1.99,4,19,2010,2010.4
4/20/2010,1.49,2.00,4,20,2010,2010.4
4/21/2010,1.48,2.00,4,21,2010,2010.4
4/22/2010,1.48,1.98,4,22,2010,2010.4
4/23/2010,,,4,23,2010,2010.4
4/24/2010,,,4,24,2010,2010.4
4/25/2010,,,4,25,2010,2010.4
4/26/2010,1.48,1.97,4,26,2010,2010.4
4/27/2010,1.47,1.96,4,27,2010,2010.4
4/28/2010,1.48,1.97,4,28,2010,2010.4
4/29/2010,1.50,1.98,4,29,2010,2010.4
4/30/2010,1.48,1.96,4,30,2010,2010.4
5/1/2010,,,5,1,2010,2010.5
5/2/2010,,,5,2,2010,2010.5
5/3/2010,1.47,1.96,5,3,2010,2010.5
5/4/2010,1.49,1.97,5,4,2010,2010.5
5/5/2010,1.49,1.96,5,5,2010,2010.5
5/6/2010,1.51,1.95,5,6,2010,2010.5
5/7/2010,1.53,1.95,5,7,2010,2010.5
5/8/2010,,,5,8,2010,2010.5
5/9/2010,,,5,9,2010,2010.5
5/10/2010,1.56,1.99,5,10,2010,2010.5
5/11/2010,1.51,1.97,5,11,2010,2010.5
5/12/2010,1.53,1.94,5,12,2010,2010.5
5/13/2010,1.52,1.93,5,13,2010,2010.5
5/14/2010,1.51,1.91,5,14,2010,2010.5
5/15/2010,,,5,15,2010,2010.5
5/16/2010,,,5,16,2010,2010.5
5/17/2010,1.52,1.90,5,17,2010,2010.5
5/18/2010,1.54,1.89,5,18,2010,2010.5
5/19/2010,,,5,19,2010,2010.5
5/20/2010,1.53,1.90,5,20,2010,2010.5
5/21/2010,1.57,1.94,5,21,2010,2010.5
5/22/2010,,,5,22,2010,2010.5
5/23/2010,,,5,23,2010,2010.5
5/24/2010,1.58,1.97,5,24,2010,2010.5
5/25/2010,1.56,1.94,5,25,2010,2010.5
